system:index,tx,ty,zoom,.geo
1090,6495,3859,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.42388989554745,10.314019401190066],[105.46966479795724,10.314019401190066],[105.46966479795724,10.359052034764614],[105.42388989554745,10.359052034764614],[105.42388989554745,10.314019401190066]]]}"
1124,6496,3819,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.46782973049528,12.038420672924637],[105.51361558801034,12.038420672924637],[105.51361558801034,12.083196588355698],[105.46782973049528,12.083196588355698],[105.46782973049528,12.038420672924637]]]}"
1125,6496,3820,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.46782987796855,11.995438517320128],[105.51361544053707,11.995438517320128],[105.51361544053707,12.04022130564835],[105.46782987796855,12.04022130564835],[105.46782987796855,11.995438517320128]]]}"
1126,6496,3821,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.46783002490054,11.952449509027161],[105.51361529360508,11.952449509027161],[105.51361529360508,11.997239147157279],[105.46783002490054,11.997239147157279],[105.46783002490054,11.952449509027161]]]}"
1127,6496,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.46783017129131,11.909453671157683],[105.51361514721431,11.909453671157683],[105.51361514721431,11.954250135975355],[105.46783017129131,11.954250135975355],[105.46783017129131,11.909453671157683]]]}"
1159,6496,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.46783457054362,10.530120123842874],[105.51361074796202,10.530120123842874],[105.51361074796202,10.575122726994518],[105.46783457054362,10.575122726994518],[105.46783457054362,10.530120123842874]]]}"
1164,6496,3859,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.46783520804792,10.314019401190068],[105.51361011045772,10.314019401190068],[105.51361011045772,10.359052034764616],[105.46783520804792,10.359052034764616],[105.46783520804792,10.314019401190068]]]}"
1165,6496,3860,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.46783533393402,10.270781348323428],[105.5136099845716,10.270781348323428],[105.5136099845716,10.315819916659589],[105.46783533393402,10.315819916659589],[105.46783533393402,10.270781348323428]]]}"
1193,6497,3814,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.51177429750709,12.253227853042198],[105.55756164599947,12.253227853042198],[105.55756164599947,12.297969058231342],[105.51177429750709,12.297969058231342],[105.51177429750709,12.253227853042198]]]}"
1194,6497,3815,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.51177444768808,12.21028030688865],[105.55756149581846,12.21028030688865],[105.55756149581846,12.255028500162664],[105.51177444768808,12.255028500162664],[105.51177444768808,12.21028030688865]]]}"
1195,6497,3816,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.51177459732737,12.167325792774667],[105.55756134617918,12.167325792774667],[105.55756134617918,12.212080951134602],[105.51177459732737,12.212080951134602],[105.51177459732737,12.167325792774667]]]}"
